filename	ATTRIBUTE_SiteName	ATTRIBUTE_SiteName_Bridge	ATTRIBUTE_SiteName_NS1	ATTRIBUTE_River_km	ATTRIBUTE_SampleDate	ATTRIBUTE_SampleMonth	ATTRIBUTE_Type_1	ATTRIBUTE_Type_2	ATTRIBUTE_Type_3	ATTRIBUTE_RiverGroup	ATTRIBUTE_RiverGroup_Type_1	ATTRIBUTE_RiverGroup_Type_2	ATTRIBUTE_RiverGroup_Type_3	ATTRIBUTE_Name	ATTRIBUTE_TimeRun	ATTRIBUTE_InjectionOrder	ATTRIBUTE_SampleTeam	ATTRIBUTE_TA_concentration	ATTRIBUTE_TOC_concentration	WWTP_LoadEntering_pePerkm2	WWTP_TWW_m3.Year.Km2	population_density_km2	artificial_surfaces_NoMines_density	Agricultural areas	Artificial surfaces	Forest and semi natural areas	Water bodies	Wetlands	Arable land	"Artificial, non-agricultural vegetated areas"	Forests	Heterogeneous agricultural areas	"Industrial, commercial and transport units"	Inland waters	Inland wetlands	"Mine, dump and construction sites"	Open spaces with little or no vegetation	Pastures	Permanent crops	Scrub and/or herbaceous vegetation associations	Urban fabric	Airports	"Beaches, dunes, sands"	Broad-leaved forest	Complex cultivation patterns	Coniferous forest	Construction sites	Continuous urban fabric	Discontinuous urban fabric	Dump sites	Fruit trees and berry plantations	Green urban areas	Industrial or commercial 	Inland marshes	"Land principally occupied by agriculture, with significant areas of natural vegetation"	Mineral extraction sites	Mixed forest	Moors and heathland	Natural grasslands	Non-irrigated arable land	Pastures	Peat bogs	Port areas	Road rail and Trnsport	Sparsely vegetated areas	Sport and leisure facilities	Transitional woodland-shrub	Vineyards	Water bodies	Water courses
N8_both_1.mzML	N08	N08	N8	223	20230522	May	River	River	River	Neckar	Neckar_River	Neckar_River	Neckar_River	Neckar	5/27/2023 1:47	17	JN_LH	2.229169393	3.3	747	73255	560	0.100196614	0.375115891	0.100663708	0.523808135	0.000348604	6.37E-05	0.18283395	0.004230891	0.517267907	0.005985042	0.017304235	0.000348604	6.36621E-05	0.000712986	0	0.138810549	0.04748635	0.006540228	0.078415596	0.000553057		0.143474874	0.00378699	0.346232832	6.02E-05	0.004365392	0.074050204	0.000185698	0.043502708	0.000705068	0.016122142		0.002198052	0.000467094	0.0275602	0	0.004299695	0.18283395	0.138810549	6.37E-05	0.0001645	0.000464536	0	0.003525823	0.002240534	0.003983642	9.83304E-05	9.83304E-05
N8_both_2.mzML	N08	N08	N8	223	20230522	May	River	River	River	Neckar	Neckar_River	Neckar_River	Neckar_River	Neckar	5/27/2023 2:03	18	JN_LH	2.229169393	3.3	747	73255	560	0.100196614	0.375115891	0.100663708	0.523808135	0.000348604	6.37E-05	0.18283395	0.004230891	0.517267907	0.005985042	0.017304235	0.000348604	6.36621E-05	0.000712986	0	0.138810549	0.04748635	0.006540228	0.078415596	0.000553057		0.143474874	0.00378699	0.346232832	6.02E-05	0.004365392	0.074050204	0.000185698	0.043502708	0.000705068	0.016122142		0.002198052	0.000467094	0.0275602	0	0.004299695	0.18283395	0.138810549	6.37E-05	0.0001645	0.000464536	0	0.003525823	0.002240534	0.003983642	9.83304E-05	9.83304E-05
S17_both_1.mzML	S75	S75	S17	374	20230511	May	River	River	River	Spree	Spree_River	Spree_River	Spree_River	Spree	5/27/2023 2:20	19	IGB	1.664120547	7.3	457	21718	324	0.092874465	0.450852183	0.121138809	0.405875312	0.020296005	0.00183769	0.359627195	0.009508337	0.390814635	0.001560372	0.015855348	0.020296005	0.00183769	0.013131479	0.000486485	0.08879473	0.000869886	0.014574192	0.082643645	0.001561654	0.000219261	0.024119814	5.32E-05	0.354030453	0.000104083	0.003526458	0.079117187	0.000237032	0.000869886	0.002338591	0.013560714	0.001709825	0.0015072	0.012790364	0.012664368	0.003330429	0.002128583	0.359627195	0.08879473	0.000127865	7.23E-05	0.000660685	0.000267224	0.007169746	0.00911518	0	0.019767039	0.019767039
S17_both_2.mzML	S75	S75	S17	374	20230511	May	River	River	River	Spree	Spree_River	Spree_River	Spree_River	Spree	5/27/2023 2:37	20	IGB	1.664120547	7.3	457	21718	324	0.092874465	0.450852183	0.121138809	0.405875312	0.020296005	0.00183769	0.359627195	0.009508337	0.390814635	0.001560372	0.015855348	0.020296005	0.00183769	0.013131479	0.000486485	0.08879473	0.000869886	0.014574192	0.082643645	0.001561654	0.000219261	0.024119814	5.32E-05	0.354030453	0.000104083	0.003526458	0.079117187	0.000237032	0.000869886	0.002338591	0.013560714	0.001709825	0.0015072	0.012790364	0.012664368	0.003330429	0.002128583	0.359627195	0.08879473	0.000127865	7.23E-05	0.000660685	0.000267224	0.007169746	0.00911518	0	0.019767039	0.019767039
S14_both_1.mzML	S72	S72	S14	351	20230511	May	River	River	River	Spree	Spree_River	Spree_River	Spree_River	Spree	5/27/2023 2:54	21	IGB	0.922434456	7.9	81	4998	136	0.081885728	0.462552981	0.095555719	0.41823125	0.021710704	0.001949346	0.367098401	0.004585675	0.402938959	0.001615728	0.010894584	0.021710704	0.001949346	0.013905716	0.000521052	0.092907156	0.000931696	0.014771239	0.066169744	0.001672618	0.00023484	0.024665096	5.69E-05	0.365633297	8.09E-05	0.000336066	0.065833678	0.000154816	0.000931696	0.000822754	0.008826987	0.001812395	0.001558778	0.013669991	0.012640566	0.003567073	0.002205496	0.367098401	0.092907156	0.00013695	3.58E-05	0.000359148	0.000286212	0.003762921	0.00899867	0	0.021144152	0.021144152
S14_both_2.mzML	S72	S72	S14	351	20230511	May	River	River	River	Spree	Spree_River	Spree_River	Spree_River	Spree	5/27/2023 3:11	22	IGB	0.922434456	7.9	81	4998	136	0.081885728	0.462552981	0.095555719	0.41823125	0.021710704	0.001949346	0.367098401	0.004585675	0.402938959	0.001615728	0.010894584	0.021710704	0.001949346	0.013905716	0.000521052	0.092907156	0.000931696	0.014771239	0.066169744	0.001672618	0.00023484	0.024665096	5.69E-05	0.365633297	8.09E-05	0.000336066	0.065833678	0.000154816	0.000931696	0.000822754	0.008826987	0.001812395	0.001558778	0.013669991	0.012640566	0.003567073	0.002205496	0.367098401	0.092907156	0.00013695	3.58E-05	0.000359148	0.000286212	0.003762921	0.00899867	0	0.021144152	0.021144152
N10_both_1.mzML	N10	N10	N10	304	20230522	May	River	River	River	Neckar	Neckar_River	Neckar_River	Neckar_River	Neckar	5/27/2023 3:45	23	TH_TR	1.654090076	4.8	548	54215	406	0.081788194	0.545104271	0.082385697	0.371504323	0.000945469	6.02E-05	0.387527912	0.003144627	0.366200098	0.005951352	0.014032842	0.000945469	6.024E-05	0.00086393	0	0.117003963	0.034621043	0.005304225	0.064344298	0.000329012		0.13154696	0.003207606	0.199980138	4.23E-05	0.003588006	0.060756293	0.000224083	0.027073569	0.000461187	0.013277538		0.002743746	0.000597503	0.034673	1.54E-05	0.002149477	0.387527912	0.117003963	6.02E-05	0.000139635	0.000286656	0	0.002683441	0.003139366	0.007547475	0.000129769	0.000129769
N10_both_2.mzML	N10	N10	N10	304	20230522	May	River	River	River	Neckar	Neckar_River	Neckar_River	Neckar_River	Neckar	5/27/2023 4:02	24	TH_TR	1.654090076	4.8	548	54215	406	0.081788194	0.545104271	0.082385697	0.371504323	0.000945469	6.02E-05	0.387527912	0.003144627	0.366200098	0.005951352	0.014032842	0.000945469	6.024E-05	0.00086393	0	0.117003963	0.034621043	0.005304225	0.064344298	0.000329012		0.13154696	0.003207606	0.199980138	4.23E-05	0.003588006	0.060756293	0.000224083	0.027073569	0.000461187	0.013277538		0.002743746	0.000597503	0.034673	1.54E-05	0.002149477	0.387527912	0.117003963	6.02E-05	0.000139635	0.000286656	0	0.002683441	0.003139366	0.007547475	0.000129769	0.000129769
N1_both_1.mzML	N01	N01	N1	0	20230522	May	River	River	Headwater	Neckar	Neckar_River	Neckar_River	Neckar_Headwater	Neckar	5/27/2023 4:19	25	LG_AS	0.063529526	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N1_both_2.mzML	N01	N01	N1	0	20230522	May	River	River	Headwater	Neckar	Neckar_River	Neckar_River	Neckar_Headwater	Neckar	5/27/2023 4:35	26	LG_AS	0.063529526	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S13_both_1.mzML	S69	S69	S13	348	20230511	May	River	River	River	Spree	Spree_River	Spree_River	Spree_River	Spree	5/27/2023 4:52	27	IGB	1.758945353	6.8	87	5485	112	0.061429206	0.465351065	0.076108535	0.439829914	0.017078979	0.001631507	0.376196804	0.003423327	0.424472834	0.001685771	0.008397309	0.017078979	0.001631507	0.014787993	0.000567338	0.086454031	0.00101446	0.014789742	0.049499907	0.0006426	0.000255702	0.02342808	6.20E-05	0.388800219	8.81E-05	0.000365919	0.049133988	2.06E-05	0.00101446	0.000576756	0.007566218	0.001482391	0.001623763	0.014679329	0.012244534	0.003743052	0.001752231	0.376196804	0.086454031	0.000149116	0	0.000188491	0.000311637	0.002846571	0.009294459	0	0.01670691	0.01670691
S13_both_2.mzML	S69	S69	S13	348	20230511	May	River	River	River	Spree	Spree_River	Spree_River	Spree_River	Spree	5/27/2023 5:09	28	IGB	1.758945353	6.8	87	5485	112	0.061429206	0.465351065	0.076108535	0.439829914	0.017078979	0.001631507	0.376196804	0.003423327	0.424472834	0.001685771	0.008397309	0.017078979	0.001631507	0.014787993	0.000567338	0.086454031	0.00101446	0.014789742	0.049499907	0.0006426	0.000255702	0.02342808	6.20E-05	0.388800219	8.81E-05	0.000365919	0.049133988	2.06E-05	0.00101446	0.000576756	0.007566218	0.001482391	0.001623763	0.014679329	0.012244534	0.003743052	0.001752231	0.376196804	0.086454031	0.000149116	0	0.000188491	0.000311637	0.002846571	0.009294459	0	0.01670691	0.01670691
Rems_both_1.mzML	T03	T03	Rems		20230522	May	River	Tributary	Tributary	Neckar	Neckar_River	Neckar_Tributary	Neckar_Tributary	Rems	5/27/2023 5:26	29	LG_AS	2.769043544	3.5	784	78581	575	0.102518681	0.413161645	0.102518681	0.484319674	0	0	0.137673156	0.002791136	0.48407734	0.004172457	0.0153616	0	0	0.000276347	0	0.193863285	0.077452746	0.000242334	0.084089598	0		0.20074418	0.003061636	0.252188688	0	0.004029632	0.080059967	0.000276347	0.063292272	0.000281406	0.0153616		0.001110821	0	0.031144472	0	0	0.137673156	0.193863285	0	0	0	0	0.00250973	0.000242334	0.014160474	0	0
Rems_both_2.mzML	T03	T03	Rems		20230522	May	River	Tributary	Tributary	Neckar	Neckar_River	Neckar_Tributary	Neckar_Tributary	Rems	5/27/2023 5:43	30	LG_AS	2.769043544	3.5	784	78581	575	0.102518681	0.413161645	0.102518681	0.484319674	0	0	0.137673156	0.002791136	0.48407734	0.004172457	0.0153616	0	0	0.000276347	0	0.193863285	0.077452746	0.000242334	0.084089598	0		0.20074418	0.003061636	0.252188688	0	0.004029632	0.080059967	0.000276347	0.063292272	0.000281406	0.0153616		0.001110821	0	0.031144472	0	0	0.137673156	0.193863285	0	0	0	0	0.00250973	0.000242334	0.014160474	0	0
Fils_both_1.mzML	T02	T02	Fils		20230522	May	River	Tributary	Tributary	Neckar	Neckar_River	Neckar_Tributary	Neckar_Tributary	Fils	5/27/2023 6:00	31	LG_AS	2.097951016	3	636	62393	402	0.073774731	0.402492118	0.074154094	0.523353787	0	0	0.189825604	0.003397557	0.52305909	0.00752608	0.010941326	0	0	0.000666934	0	0.172229885	0.032910549	0.000294697	0.059148278	0		0.447289492	0.005016348	0.06851208	0	0.002918671	0.056229607	0.00028757	0.032910549	0.000209502	0.010941326		0.002509732	0.000379364	0.007257518	0	0	0.189825604	0.172229885	0	0	0	0	0.003188055	0.000294697	0	0	0
Fils_both_2.mzML	T02	T02	Fils		20230522	May	River	Tributary	Tributary	Neckar	Neckar_River	Neckar_Tributary	Neckar_Tributary	FIls	5/27/2023 6:17	32	LG_AS	2.097951016	3	636	62393	402	0.073774731	0.402492118	0.074154094	0.523353787	0	0	0.189825604	0.003397557	0.52305909	0.00752608	0.010941326	0	0	0.000666934	0	0.172229885	0.032910549	0.000294697	0.059148278	0		0.447289492	0.005016348	0.06851208	0	0.002918671	0.056229607	0.00028757	0.032910549	0.000209502	0.010941326		0.002509732	0.000379364	0.007257518	0	0	0.189825604	0.172229885	0	0	0	0	0.003188055	0.000294697	0	0	0
N2_both_1.mzML	N02	N02	N2	79	20230522	May	River	River	River	Neckar	Neckar_River	Neckar_River	Neckar_River	Neckar	5/27/2023 6:34	33	LG_AS	0.982179441	4.5	329	37579	242	0.036640685	0.212210786	0.037097636	0.750532158	0	0.000159421	0.096521629	0.001151705	0.749300797	0.001915162	0.006211802	0	0.000159421	0.000456951	0	0.112591209	0.001182786	0.00123136	0.029277178	0.000202262		0.009628647	0.001421014	0.728050589	0	0.000897511	0.028379667	0	0.001182786	0	0.006009541		0.000494148	0.000456951	0.011621562	0	0	0.096521629	0.112591209	0.000159421	0	0	0	0.001151705	0.00123136	0	0	0
N2_both_2.mzML	N02	N02	N2	79	20230522	May	River	River	River	Neckar	Neckar_River	Neckar_River	Neckar_River	Neckar	5/27/2023 6:51	34	LG_AS	0.982179441	4.5	329	37579	242	0.036640685	0.212210786	0.037097636	0.750532158	0	0.000159421	0.096521629	0.001151705	0.749300797	0.001915162	0.006211802	0	0.000159421	0.000456951	0	0.112591209	0.001182786	0.00123136	0.029277178	0.000202262		0.009628647	0.001421014	0.728050589	0	0.000897511	0.028379667	0	0.001182786	0	0.006009541		0.000494148	0.000456951	0.011621562	0	0	0.096521629	0.112591209	0.000159421	0	0	0	0.001151705	0.00123136	0	0	0
N6_both_1.mzML	N06	N06	N6	187	20230522	May	River	River	River	Neckar	Neckar_River	Neckar_River	Neckar_River	Neckar	5/27/2023 7:24	35	LG_AS	1.576377646	4.7	755	74739	558	0.096475366	0.355910475	0.096906022	0.546810917	0.000296331	7.63E-05	0.181146699	0.004553753	0.539756972	0.004807666	0.017220644	0.000296331	7.6255E-05	0.00067813	0	0.133657139	0.036298971	0.007053946	0.074453495	0.000662455		0.13671228	0.002711703	0.378026301	7.21E-05	0.004397177	0.070056318	0.000175373	0.035226548	0.000596533	0.015804725		0.002095964	0.000430656	0.02501839	0	0.005150203	0.181146699	0.133657139	7.63E-05	0.000197039	0.000556425	0	0.00395722	0.001903742	0.001072423	0.000117781	0.000117781
N6_both_2.mzML	N06	N06	N6	187	20230522	May	River	River	River	Neckar	Neckar_River	Neckar_River	Neckar_River	Neckar	5/27/2023 7:41	36	LG_AS	1.576377646	4.7	755	74739	558	0.096475366	0.355910475	0.096906022	0.546810917	0.000296331	7.63E-05	0.181146699	0.004553753	0.539756972	0.004807666	0.017220644	0.000296331	7.6255E-05	0.00067813	0	0.133657139	0.036298971	0.007053946	0.074453495	0.000662455		0.13671228	0.002711703	0.378026301	7.21E-05	0.004397177	0.070056318	0.000175373	0.035226548	0.000596533	0.015804725		0.002095964	0.000430656	0.02501839	0	0.005150203	0.181146699	0.133657139	7.63E-05	0.000197039	0.000556425	0	0.00395722	0.001903742	0.001072423	0.000117781	0.000117781
N4_both_1.mzML	N04	N04	N4	155	20230522	May	River	River	River	Neckar	Neckar_River	Neckar_River	Neckar_River	Neckar	5/27/2023 7:58	37	LG_AS	1.208216247	3	479	57281	380	0.074012005	0.317112975	0.074455161	0.608197732	0.00014212	9.20E-05	0.154131311	0.002765415	0.599862973	0.003937934	0.010663968	0.00014212	9.20127E-05	0.00063586	0	0.127397074	0.031646655	0.008334758	0.060389918	0.000116739		0.128958286	0.001970408	0.442546622	8.70E-05	0.001801007	0.058588911	0.000105703	0.031588647	4.22E-05	0.010495056		0.001967526	0.000443156	0.028358066	0	0.00621447	0.154131311	0.127397074	9.20E-05	0	5.22E-05	0	0.002723172	0.002120288	5.80079E-05	0.00014212	0.00014212
N4_both_2.mzML	N04	N04	N4	155	20230522	May	River	River	River	Neckar	Neckar_River	Neckar_River	Neckar_River	Neckar	5/27/2023 8:15	38	LG_AS	1.208216247	3	479	57281	380	0.074012005	0.317112975	0.074455161	0.608197732	0.00014212	9.20E-05	0.154131311	0.002765415	0.599862973	0.003937934	0.010663968	0.00014212	9.20127E-05	0.00063586	0	0.127397074	0.031646655	0.008334758	0.060389918	0.000116739		0.128958286	0.001970408	0.442546622	8.70E-05	0.001801007	0.058588911	0.000105703	0.031588647	4.22E-05	0.010495056		0.001967526	0.000443156	0.028358066	0	0.00621447	0.154131311	0.127397074	9.20E-05	0	5.22E-05	0	0.002723172	0.002120288	5.80079E-05	0.00014212	0.00014212
Enz_both_1.mzML	T05	T05	Enz		20230522	May	River	Tributary	Tributary	Neckar	Neckar_River	Neckar_Tributary	Neckar_Tributary	Enz	5/27/2023 8:32	39	JN_LH	2.09328292	3.4	565	55322	448	0.073821998	0.24325263	0.07457615	0.681523526	0.000523394	0.0001243	0.166360946	0.002569196	0.6753279	0.004764043	0.012049805	0.000523394	0.0001243	0.001097645	0	0.053558157	0.018569484	0.006195626	0.058859505	0		0.108693061	0.001956733	0.522592271	0	0.002656454	0.056203051	0.000343492	0.016012475	0.000396207	0.011929776		0.00280731	0.000754153	0.044042567	0	0.000100853	0.166360946	0.053558157	0.0001243	0	0.000120029	0	0.002172989	0.006094773	0.00255701	0.000111131	0.000111131
