FeatureID,Feature,Annotation,Cosine,Mzerror,Group0,Group1,Group2
10244,X10244_pos_427.234_3.831_NA,,,,,,
10246,X10246_pos_562.307_4_NA,,,,,,
10249,X10249_pos_416.249_3.919_NA,,,,,,
1025,X1025_pos_208.097_0.954_NA,,,,,,
10256,X10256_pos_575.229_3.803_NA,,,,,,
10257,X10257_pos_532.297_4.101_NA,,,,,,
1026,"X1026_pos_164.093_0.953_Spectral Match to 1H-Purin-6-amine, N,N-dimethyl- from NIST14","Spectral Match to 1H-Purin-6-amine, N,N-dimethyl- from NIST14",0.918425,19.528,biological ,biological compound,biological - other
10260,X10260_pos_496.206_3.969_NA,,,,,,
10263,X10263_pos_260.201_4_NA,,,,,,
10266,X10266_pos_479.247_4.089_NA,,,,,,
10267,X10267_pos_668.407_3.824_NA,,,,,,
1027,X1027_pos_307.138_0.955_NA,,,,,,
10271,X10271_pos_289.155_3.829_NA,,,,,,
10274,X10274_pos_331.154_4.224_NA,,,,,,
1028,X1028_pos_175.087_0.896_NA,,,,,,
10281,X10281_pos_336.197_3.928_NA,,,,,,
10290,X10290_pos_344.228_3.912_NA,,,,,,
10293,X10293_pos_503.306_3.938_Spectral Match to Undecaethylene glycol from NIST14,Spectral Match to Undecaethylene glycol from NIST14,0.945137,1.39458,all anthropogenic,polymer-related,PAG
103,X103_pos_414.883_0.538_NA,,,,,,
1030,X1030_pos_233.15_0.966_NA,,,,,,
10300,X10300_pos_363.144_4.057_NA,,,,,,
10302,X10302_pos_375.262_4.005_Spectral Match to Azithromycin from NIST14,Spectral Match to Azithromycin from NIST14,0.903637,1.62647,all anthropogenic,pharmaceutical,antibiotic
10311,X10311_pos_289.118_3.942_NA,,,,,,
10315,X10315_pos_191.086_3.937_NA,,,,,,
10316,X10316_pos_265.144_3.95_Artemisinin CollisionEnergy:205060,Artemisinin CollisionEnergy:205060,0.749344,2.18687,biological ,biological compound,plant metabolite
10319,X10319_pos_285.167_3.938_NA,,,,,,
1032,X1032_pos_188.139_0.957_NA,,,,,,
10321,X10321_pos_567.263_3.968_NA,,,,,,
10324,"X10324_pos_188.07_3.969_MassbankEU:SM840801 Desethylatrazine|Deethylatrazine|6-chloro-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine","MassbankEU:SM840801 Desethylatrazine|Deethylatrazine|6-chloro-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",0.926344,1.13587,all anthropogenic,pesticide,herbicide
10325,X10325_pos_421.204_3.945_NA,,,,,,
10329,X10329_pos_460.312_3.955_NA,,,,,,
10335,X10335_pos_167.107_3.818_NA,,,,,,
10336,X10336_pos_264.196_3.939_Massbank:EA103410 N-Desmethylvenlafaxine|1-[1-(4-methoxyphenyl)-2-(methylamino)ethyl]-1-cyclohexanol,Massbank:EA103410 N-Desmethylvenlafaxine|1-[1-(4-methoxyphenyl)-2-(methylamino)ethyl]-1-cyclohexanol,0.865104,0.808578,all anthropogenic,pharmaceutical,pharmaceutical - other
1036,"X1036_pos_286.144_0.954_Massbank:EA274410 Morphine|(5alpha,6alpha)-17-Methyl-7,8-didehydro-4,5-epoxymorphinan-3,6-diol","Massbank:EA274410 Morphine|(5alpha,6alpha)-17-Methyl-7,8-didehydro-4,5-epoxymorphinan-3,6-diol",0.96672,0.746558,all anthropogenic,pharmaceutical,pharmaceutical - other
10365,X10365_pos_407.17_4.088_NA,,,,,,
10366,X10366_pos_361.183_4.006_NA,,,,,,
10370,X10370_pos_414.27_3.816_NA,,,,,,
10371,X10371_pos_210.105_3.97_NA,,,,,,
10374,X10374_pos_812.449_3.939_NA,,,,,,
10375,X10375_pos_652.352_3.978_NA,,,,,,
10378,X10378_pos_585.288_3.731_NA,,,,,,
1038,X1038_pos_165.064_0.957_NA,,,,,,
10383,X10383_pos_293.138_4.11_NA,,,,,,
10396,X10396_pos_231.069_4.002_NA,,,,,,
10399,X10399_pos_388.254_3.969_NA,,,,,,
1040,X1040_pos_392.226_0.963_NA,,,,,,
10402,X10402_pos_507.166_3.931_NA,,,,,,
10405,X10405_pos_293.186_3.94_NA,,,,,,
10409,X10409_pos_817.404_3.93_NA,,,,,,
10410,X10410_pos_321.133_3.978_NA,,,,,,
10411,X10411_pos_474.255_3.961_NA,,,,,,
10413,X10413_pos_277.155_4.053_NA,,,,,,
10417,X10417_pos_712.433_3.968_NA,,,,,,
1042,X1042_pos_180.102_0.973_NA,,,,,,
1043,X1043_pos_246.113_0.962_NA,,,,,,
10431,X10431_pos_332.258_3.93_NA,,,,,,
10434,X10434_pos_308.181_3.957_NA,,,,,,
1044,X1044_pos_206.129_0.968_NA,,,,,,
10441,X10441_pos_390.984_3.949_NA,,,,,,
10447,X10447_pos_573.155_4.081_NA,,,,,,
10448,X10448_pos_278.096_3.957_NA,,,,,,
10449,X10449_pos_583.294_3.856_NA,,,,,,
1045,X1045_pos_262.013_0.978_NA,,,,,,
10452,X10452_pos_250.18_3.933_NA,,,,,,
10460,X10460_pos_302.175_3.649_NA,,,,,,
10468,X10468_pos_167.07_3.971_NA,,,,,,
1047,X1047_pos_264.159_0.97_NA,,,,,,
10472,X10472_pos_307.154_4.117_NA,,,,,,
10475,X10475_pos_594.37_3.852_NA,,,,,,
10479,X10479_pos_629.315_3.896_NA,,,,,,
1048,X1048_pos_247.165_0.959_NA,,,,,,
10481,X10481_pos_641.207_3.98_NA,,,,,,
10482,X10482_pos_614.269_3.981_NA,,,,,,
10484,X10484_pos_619.225_3.987_NA,,,,,,
10486,X10486_pos_531.265_3.805_NA,,,,,,
10487,X10487_pos_576.323_3.805_NA,,,,,,
10488,X10488_pos_347.204_3.908_NA,,,,,,
10496,X10496_pos_592.318_3.991_NA,,,,,,
1050,X1050_pos_370.244_0.966_NA,,,,,,
1051,X1051_pos_186.103_0.971_NA,,,,,,
10514,X10514_pos_592.39_3.734_NA,,,,,,
10515,X10515_pos_630.37_3.966_NA,,,,,,
10518,X10518_pos_346.122_3.954_NA,,,,,,
10520,X10520_pos_246.185_3.951_NA,,,,,,
10522,X10522_pos_274.17_3.763_NA,,,,,,
10524,X10524_pos_282.124_3.99_NA,,,,,,
10526,X10526_pos_311.175_3.974_NA,,,,,,
10528,X10528_pos_386.275_4.051_NA,,,,,,
10529,X10529_pos_359.168_3.967_NA,,,,,,
1053,X1053_pos_251.139_0.973_NA,,,,,,
10531,X10531_pos_613.341_3.881_NA,,,,,,
10532,X10532_pos_218.165_3.933_NA,,,,,,
10533,X10533_pos_299.149_3.984_NA,,,,,,
10534,"X10534_pos_150.091_3.973_Massbank:LU089001 N-(2,4-Dimethylphenyl)formamide","Massbank:LU089001 N-(2,4-Dimethylphenyl)formamide",0.854713,2.64325,all anthropogenic,pesticide,insecticide
10538,X10538_pos_429.213_3.963_NA,,,,,,
10539,X10539_pos_613.247_3.971_NA,,,,,,
10540,X10540_pos_260.165_3.788_NA,,,,,,
10543,X10543_pos_416.285_3.966_NA,,,,,,
1055,X1055_pos_354.249_0.969_NA,,,,,,
10550,X10550_pos_591.359_3.882_NA,,,,,,
10551,X10551_pos_196.206_3.957_NA,,,,,,
10552,X10552_pos_408.213_3.959_NA,,,,,,
10559,X10559_pos_354.212_3.97_NA,,,,,,
10565,X10565_pos_619.255_3.988_NA,,,,,,
10566,X10566_pos_655.279_3.986_NA,,,,,,
10567,X10567_pos_517.286_3.974_NA,,,,,,
1057,X1057_pos_244.998_0.975_NA,,,,,,
10572,"X10572_pos_215.978_4.108_MassbankEU:SM882601 2-Benzothiazolesulfonic acid|Benzothiazole-2-sulfonic acid|1,3-benzothiazole-2-sulfonic acid","MassbankEU:SM882601 2-Benzothiazolesulfonic acid|Benzothiazole-2-sulfonic acid|1,3-benzothiazole-2-sulfonic acid",0.958536,2.33144,all anthropogenic,polymer-related,other polymer-related
10574,X10574_pos_349.165_4.183_NA,,,,,,
1058,X1058_pos_306.158_0.968_NA,,,,,,
10580,X10580_pos_606.37_3.855_NA,,,,,,
10587,X10587_pos_446.297_4.007_NA,,,,,,
10589,X10589_pos_302.142_4_NA,,,,,,
10595,X10595_pos_238.191_3.998_NA,,,,,,
10596,X10596_pos_183.102_3.858_NA,,,,,,
10597,X10597_pos_214.144_3.759_NA,,,,,,
1061,X1061_pos_249.123_0.956_NA,,,,,,
10614,X10614_pos_196.133_3.957_NA,,,,,,
10620,X10620_pos_208.133_3.949_NA,,,,,,
10624,X10624_pos_569.314_3.976_NA,,,,,,
10625,X10625_pos_222.185_3.982_Tapentadol,Tapentadol,0.781424,1.37352,all anthropogenic,pharmaceutical,pharmaceutical - other
10629,X10629_pos_346.213_3.971_NA,,,,,,
10636,X10636_pos_564.359_4.011_NA,,,,,,
10640,X10640_pos_299.712_3.983_NA,,,,,,
10641,X10641_pos_598.418_3.993_NA,,,,,,
10643,X10643_pos_581.438_3.917_NA,,,,,,
10646,X10646_pos_179.107_3.986_NA,,,,,,
10647,X10647_pos_627.32_4.02_NA,,,,,,
10648,X10648_pos_176.071_3.959_MassbankEU:SM884001 7-Amino-4-methylcoumarin|7-amino-4-methylchromen-2-one,MassbankEU:SM884001 7-Amino-4-methylcoumarin|7-amino-4-methylchromen-2-one,0.850923,1.73325,biological ,biological compound,plant metabolite
10650,X10650_pos_290.096_3.991_NA,,,,,,
1066,X1066_pos_214.18_0.968_NA,,,,,,
10663,X10663_pos_277.118_4.009_NA,,,,,,
10665,X10665_pos_182.118_3.976_NA,,,,,,
10667,X10667_pos_210.104_3.907_NA,,,,,,
10669,X10669_pos_360.217_3.987_Scopolamine N-butylbromide CollisionEnergy:205060,Scopolamine N-butylbromide CollisionEnergy:205060,0.89392,0.33888,all anthropogenic,pharmaceutical,pharmaceutical - other
1067,X1067_pos_328.14_0.972_NA,,,,,,
10674,X10674_pos_295.212_4.137_NA,,,,,,
10677,X10677_pos_650.396_3.997_NA,,,,,,
10679,X10679_pos_717.405_4.002_NA,,,,,,
10683,X10683_pos_485.269_4.001_NA,,,,,,
10688,X10688_pos_620.4_3.989_NA,,,,,,
1069,X1069_pos_151.073_0.976_NA,,,,,,
10695,X10695_pos_605.338_4.017_NA,,,,,,
10701,X10701_pos_307.114_4.065_NA,,,,,,
10705,X10705_pos_181.122_4.057_NA,,,,,,
10707,X10707_pos_230.107_4.076_NA,,,,,,
10708,X10708_pos_403.194_4.024_NA,,,,,,
10710,X10710_pos_180.051_3.99_NA,,,,,,
10719,X10719_pos_193.05_4.013_scopoletin CollisionEnergy:102040,scopoletin CollisionEnergy:102040,0.879582,2.05506,biological ,biological compound,plant metabolite
10721,X10721_pos_300.181_4.021_NA,,,,,,
10722,X10722_pos_236.128_4.001_NA,,,,,,
10723,X10723_pos_379.175_4.039_NA,,,,,,
10725,X10725_pos_295.154_3.984_NA,,,,,,
10727,X10727_pos_671.253_4.021_NA,,,,,,
10728,X10728_pos_439.254_4.011_NA,,,,,,
1073,X1073_pos_170.129_0.964_NA,,,,,,
10733,X10733_pos_689.374_4.022_NA,,,,,,
10734,X10734_pos_661.342_4.025_NA,,,,,,
10737,X10737_pos_458.296_4.035_NA,,,,,,
10738,"X10738_pos_187.087_4.064_""2,3,4-trihydrobeta-carbolin-1-one CollisionEnergy:102040""","""2,3,4-trihydrobeta-carbolin-1-one CollisionEnergy:102040""",0.775912,2.20212,biological ,biological compound,biological - other
10739,X10739_pos_445.295_3.983_NA,,,,,,
1074,X1074_pos_207.149_0.982_NA,,,,,,
10741,X10741_pos_666.298_4.028_NA,,,,,,
10755,X10755_pos_280.17_3.99_NA,,,,,,
10756,X10756_pos_291.222_3.972_NA,,,,,,
10764,X10764_pos_327.236_4.026_NA,,,,,,
10765,X10765_pos_627.29_4.013_NA,,,,,,
10766,X10766_pos_281.139_4.027_NA,,,,,,
10767,X10767_pos_185.082_3.831_NA,,,,,,
10769,X10769_pos_367.175_4.144_NA,,,,,,
10774,X10774_pos_644.27_3.99_NA,,,,,,
10783,X10783_pos_694.329_4.012_NA,,,,,,
10794,X10794_pos_307.174_3.903_NA,,,,,,
10796,X10796_pos_381.154_4.142_NA,,,,,,
10799,X10799_pos_520.333_3.819_NA,,,,,,
1080,X1080_pos_197.115_0.976_Germicidin B,Germicidin B,0.732695,11.6889,biological ,biological compound,biological - other
10800,X10800_pos_287.125_3.866_NA,,,,,,
10806,X10806_pos_304.696_3.901_NA,,,,,,
10811,X10811_pos_340.178_4.025_NA,,,,,,
10814,X10814_pos_518.318_3.979_NA,,,,,,
10815,X10815_pos_657.367_4.025_NA,,,,,,
1082,X1082_pos_226.155_0.977_NA,,,,,,
10821,X10821_pos_247.119_4.028_NA,,,,,,
10837,X10837_pos_680.443_4.022_NA,,,,,,
10838,X10838_pos_257.103_4.005_NA,,,,,,
10841,X10841_pos_318.196_4.048_NA,,,,,,
10842,X10842_pos_268.166_3.936_NA,,,,,,
10848,X10848_pos_673.341_4.047_NA,,,,,,
10849,X10849_pos_333.144_4.008_NA,,,,,,
10853,X10853_pos_337.7_4.044_NA,,,,,,
10855,X10855_pos_335.222_4.028_NA,,,,,,
10861,X10861_pos_365.259_4.014_NA,,,,,,
10864,X10864_pos_432.28_4.087_NA,,,,,,
10867,X10867_pos_216.113_4.06_NA,,,,,,
10870,X10870_pos_696.438_4.179_NA,,,,,,
10872,X10872_pos_459.28_4.045_Spectral Match to Decaethylene glycol from NIST14,Spectral Match to Decaethylene glycol from NIST14,0.923606,0,all anthropogenic,polymer-related,PAG
10873,X10873_pos_502.322_4.041_NA,,,,,,
10874,X10874_pos_301.212_4.031_NA,,,,,,
10875,X10875_pos_355.175_4.037_NA,,,,,,
10876,X10876_pos_655.419_4.01_NA,,,,,,
10884,X10884_pos_249.112_4.048_NA,,,,,,
1089,X1089_pos_168.102_0.971_NA,,,,,,
10890,X10890_pos_664.448_3.919_NA,,,,,,
10894,X10894_pos_369.248_4.044_NA,,,,,,
10897,"X10897_pos_408.125_3.889_Massbank:EA290304 Sitagliptin|(3R)-3-amino-1-[3-(trifluoromethyl)-6,8-dihydro-5H-[1,2,4]triazolo[4,3-a]pyrazin-7-yl]-4-(2,4,5-trifluorophenyl)-1-butanone","Massbank:EA290304 Sitagliptin|(3R)-3-amino-1-[3-(trifluoromethyl)-6,8-dihydro-5H-[1,2,4]triazolo[4,3-a]pyrazin-7-yl]-4-(2,4,5-trifluorophenyl)-1-butanone",0.936646,1.1964,all anthropogenic,pharmaceutical,pharmaceutical - other
10898,X10898_pos_324.101_4.024_NA,,,,,,
109,X109_pos_328.898_0.54_NA,,,,,,
1090,X1090_pos_204.113_0.985_NA,,,,,,
10902,X10902_pos_465.231_3.862_NA,,,,,,
10903,X10903_pos_457.264_4.076_NA,,,,,,
10914,X10914_pos_205.122_3.964_NA,,,,,,
10918,"X10918_pos_380.254_3.843_Massbank:EQ301502 Celiprolol|3-[3-acetyl-4-[3-(tert-butylamino)-2-hydroxy-propoxy]phenyl]-1,1-diethyl-urea","Massbank:EQ301502 Celiprolol|3-[3-acetyl-4-[3-(tert-butylamino)-2-hydroxy-propoxy]phenyl]-1,1-diethyl-urea",0.922771,1.04333,all anthropogenic,pharmaceutical,pharmaceutical - other
1092,X1092_pos_215.137_0.983_NA,,,,,,
1093,X1093_pos_203.972_0.984_NA,,,,,,
10932,"X10932_pos_163.148_4.046_Spectral Match to 3,5-Dimethyladamantan-1-amine from NIST14","Spectral Match to 3,5-Dimethyladamantan-1-amine from NIST14",0.799612,1.21585,all anthropogenic,pharmaceutical,pharmaceutical - other
10938,X10938_pos_264.176_4.035_MassbankEU:SM849401 Melperon|1-(4-fluorophenyl)-4-(4-methylpiperidin-1-yl)butan-1-one,MassbankEU:SM849401 Melperon|1-(4-fluorophenyl)-4-(4-methylpiperidin-1-yl)butan-1-one,0.946834,0.34656,all anthropogenic,pharmaceutical,pharmaceutical - other
1094,X1094_pos_234.135_0.988_NA,,,,,,
10941,"X10941_pos_180.175_4.044_Massbank:EQ335103 Memantine|3,5-dimethyladamantan-1-amine","Massbank:EQ335103 Memantine|3,5-dimethyladamantan-1-amine",0.846086,1.69377,all anthropogenic,pharmaceutical,pharmaceutical - other
10942,X10942_pos_197.117_4.196_Loliolide,Loliolide,0.960392,1.47079,biological ,biological compound,plant metabolite
10945,X10945_pos_495.221_4.106_NA,,,,,,
10946,X10946_pos_326.233_4.053_Massbank:TUE00192 Bisoprolol,Massbank:TUE00192 Bisoprolol,0.951314,1.21609,all anthropogenic,pharmaceutical,pharmaceutical - other
10947,X10947_pos_398.239_4.014_NA,,,,,,
10949,X10949_pos_307.166_4.038_NA,,,,,,
1095,"X1095_pos_189.102_0.989_Massbank:EA033810 Antipyrine|Phenazone|1,5-dimethyl-2-phenyl-3-pyrazolone","Massbank:EA033810 Antipyrine|Phenazone|1,5-dimethyl-2-phenyl-3-pyrazolone",0.793793,1.53312,all anthropogenic,pharmaceutical,NSAID
10951,X10951_pos_753.21_4.061_NA,,,,,,
10957,X10957_pos_340.041_4.051_NA,,,,,,
10958,X10958_pos_317.193_4.121_NA,,,,,,
10959,X10959_pos_534.312_3.98_NA,,,,,,
10961,X10961_pos_192.102_3.932_NA,,,,,,
10963,X10963_pos_233.092_4.053_NA,,,,,,
10964,X10964_pos_474.291_4.097_NA,,,,,,
10968,X10968_pos_597.273_3.99_NA,,,,,,
1097,X1097_pos_172.145_0.984_NA,,,,,,
10973,X10973_pos_163.109_4.045_NA,,,,,,
10974,X10974_pos_444.245_4.002_NA,,,,,,
1098,X1098_pos_186.149_0.973_NA,,,,,,
10981,X10981_pos_356.228_4.008_NA,,,,,,
10984,X10984_pos_292.116_4.047_NA,,,,,,
10986,X10986_pos_286.217_3.97_NA,,,,,,
1099,X1099_pos_202.086_0.985_NA,,,,,,
10991,X10991_pos_255.243_4.056_NA,,,,,,
10992,X10992_pos_269.222_4.047_NA,,,,,,
10999,X10999_pos_391.23_4.043_NA,,,,,,
110,X110_pos_442.878_0.54_NA,,,,,,
11000,X11000_pos_539.268_3.976_NA,,,,,,
11009,X11009_pos_318.165_3.907_NA,,,,,,
1101,X1101_pos_216.069_0.99_NA,,,,,,
11014,X11014_pos_278.211_4.06_Massbank:LU041702 Venlafaxine|1-[2-(dimethylamino)-1-(4-methoxyphenyl)ethyl]cyclohexan-1-ol,Massbank:LU041702 Venlafaxine|1-[2-(dimethylamino)-1-(4-methoxyphenyl)ethyl]cyclohexan-1-ol,0.968822,1.75508,all anthropogenic,pharmaceutical,pharmaceutical - other
11019,X11019_pos_165.091_4.058_NA,,,,,,
1102,X1102_pos_152.143_0.985_NA,,,,,,
11029,X11029_pos_509.257_4.054_NA,,,,,,
1103,X1103_pos_326.217_0.992_NA,,,,,,
11031,X11031_pos_364.25_4.059_NA,,,,,,
11033,X11033_pos_337.169_4.048_NA,,,,,,
11034,X11034_pos_205.097_4.075_NA,,,,,,
11038,X11038_pos_372.248_4.04_NA,,,,,,
11040,X11040_pos_195.138_4.042_NA,,,,,,
11046,X11046_pos_287.146_3.984_NA,,,,,,
11047,X11047_pos_275.139_3.937_NA,,,,,,
11048,X11048_pos_221.092_4.06_NA,,,,,,
11052,X11052_pos_349.178_4.063_NA,,,,,,
11055,X11055_pos_370.223_4.109_NA,,,,,,
11059,X11059_pos_523.273_4.033_NA,,,,,,
1106,X1106_pos_263.096_0.992_NA,,,,,,
11061,X11061_pos_523.237_4.025_NA,,,,,,
11063,X11063_pos_297.133_4.153_NA,,,,,,
11064,X11064_pos_419.17_4.198_NA,,,,,,
11066,X11066_pos_383.228_4.199_NA,,,,,,
11077,X11077_pos_209.13_4.066_NA,,,,,,
11082,X11082_pos_368.195_4.02_NA,,,,,,
11089,X11089_pos_339.144_4.027_NA,,,,,,
11101,X11101_pos_309.133_4.023_NA,,,,,,
11102,X11102_pos_460.275_4.172_NA,,,,,,
11103,X11103_pos_398.217_4.098_NA,,,,,,
11105,X11105_pos_395.17_4.161_NA,,,,,,
11106,X11106_pos_729.166_4.061_NA,,,,,,
11107,X11107_pos_393.154_4.193_NA,,,,,,
11108,X11108_pos_328.259_4.083_NA,,,,,,
1112,X1112_pos_191.118_0.848_NA,,,,,,
11130,X11130_pos_350.241_4.072_NA,,,,,,
11131,X11131_pos_232.108_4.088_NA,,,,,,
11136,X11136_pos_273.146_3.907_NA,,,,,,
11139,X11139_pos_202.18_3.873_NA,,,,,,
1114,X1114_pos_160.076_0.992_INDOLE-3-ETHANOL,INDOLE-3-ETHANOL,0.734091,1.23919,biological ,biological compound,biological - other
11143,X11143_pos_442.265_4.252_NA,,,,,,
11144,X11144_pos_323.149_4.059_NA,,,,,,
11147,X11147_pos_505.187_4.075_NA,,,,,,
1116,"X1116_pos_234.149_0.987_""4-(quinuclidin-2-ylmethyl)benzene-1,2-diol CollisionEnergy:205060""","""4-(quinuclidin-2-ylmethyl)benzene-1,2-diol CollisionEnergy:205060""",0.712659,0.456169,unknown,unknown,unknown
11162,X11162_pos_578.375_4.197_NA,,,,,,
11163,X11163_pos_391.175_4.22_NA,,,,,,
11164,X11164_pos_390.092_4.109_NA,,,,,,
11174,X11174_pos_467.297_4.117_NA,,,,,,
1118,X1118_pos_365.265_1.007_NA,,,,,,
11187,X11187_pos_521.137_4.082_NA,,,,,,
11191,X11191_pos_547.333_4.062_NA,,,,,,
11194,X11194_pos_401.159_4.105_NA,,,,,,
11195,X11195_pos_165.089_4.102_NA,,,,,,
1120,X1120_pos_184.17_0.99_NA,,,,,,
11214,X11214_pos_476.301_4.127_NA,,,,,,
11216,X11216_pos_590.181_4.103_NA,,,,,,
11217,X11217_pos_618.213_4.104_NA,,,,,,
1122,X1122_pos_309.158_0.974_NA,,,,,,
1124,X1124_pos_153.102_1.004_NA,,,,,,
11241,X11241_pos_195.101_4.128_NA,,,,,,
11244,X11244_pos_296.183_4.125_NA,,,,,,
1125,X1125_pos_278.175_0.898_NA,,,,,,
11250,X11250_pos_344.228_4.114_NA,,,,,,
11252,X11252_pos_554.249_4.108_NA,,,,,,
11254,X11254_pos_274.201_4.12_NA,,,,,,
11268,X11268_pos_153.091_4.052_N-ACETYLPUTRESCINE,N-ACETYLPUTRESCINE,0.776884,58.2047,biological ,biological compound,biological - other
1127,X1127_pos_384.223_1.007_NA,,,,,,
11271,X11271_pos_261.071_4.093_NA,,,,,,
11279,X11279_pos_595.137_4.103_NA,,,,,,
11280,X11280_pos_315.178_4.112_NA,,,,,,
11286,X11286_pos_657.274_4.127_NA,,,,,,
11289,X11289_pos_169.122_4.093_NA,,,,,,
1129,X1129_pos_356.193_0.982_NA,,,,,,
11295,X11295_pos_351.144_4.173_NA,,,,,,
